City Name,State Name,Year,Plan Type,Threats,Adaptation Measures,Mitigation Measures,Resilience Measures
Eugene,OR,2020,Equal Adaptation-Mitigation CAP,"Rising temperatures, Reduced snowpack, Reduced summer stream flows, Increased wildfire and related smoke events, Increasing intensity in storm events and flooding.","Increase urban tree canopy, provide incentives to improve ecological function, pursue a water reuse partnership, update the Eugene-Springfield floodplain maps, evaluate stormwater design standards, update the Wildlife-Urban Interface plan, engage vulnerable populations, continue Community Emergency Response Team training, develop a water conservation and drought management plan, implement Comprehensive Stormwater Management Plan, use landslide maps for planning, establish urban forest management plan, track ecosystem services benefits, enhance soil standards and include biochar specifications.",N/A,"make a plan, create a supply kit, get to know your neighbors, attend community meetings, strengthen personal and community-wide resiliency skills, build capacity to become present, restore meaning purpose and hope, update Eugene-Springfield Wildlife-Urban Interface plan, develop outreach plan for vulnerable populations, sponsor Community Emergency Response Team training, develop water conservation and drought management plan, implement Comprehensive Stormwater Management Plan, use DOGAMI landslide maps for planning, research extreme weather safety awareness, update Eugene-Springfield floodplain maps, evaluate stormwater design standards, increase urban tree canopy, track ecosystem services benefits of urban forest, update Urban Forest Management Plan, build real-time tracking dashboard for street trees, tree planting initiative and community engagement campaign, incident command system training sessions, install emergency water stations, increase urban tree canopy, increase psychological first aid training, foster accessible mental health services, establish citywide protocol for emergency food delivery, create edible forests, build rain and stormwater gardens, provide incentives for home stormwater gardens, provide garden education with focus on water conservation, train multilingual first responders, activate network of community advocates, create list for contacting households during emergencies, develop evacuation protocol for those dependent on public transit, consider fossil fuel risk bonds and divest from fossil fuel financial systems, engage youth and support neighborhood associations, organize a Resilience Coordinating Council."
Lexington,KY,2012,Mitigation Primary CAP,N/A,N/A,"Voluntary reduction targets, annual 1% reduction in community’s energy use, greenhouse gas inventory for Lexington-Fayette County, replacing HPS streetlights with LED technologies, promoting best management practices for vegetation, planting trees, increasing tree canopy cover, pursuing Smart Street lights, removing streetlights, reducing hours of operation, using LED technology for streetlights.",N/A
Spokane,WA,2021,Mitiagtion Primary CAP,"Increased temperatures, decreased snowpack, increased risk of wildfires, economic and recreational costs, disproportionate impacts on vulnerable populations","Creating detailed implementation plans for each sector, Establishing a multi-criteria qualitative assessment process, Identifying and establishing regional partnerships, Creating citizen advisory groups, Making changes to local policies or existing programs, Conducting a community-wide GHG inventory, Partnering to complete Climate Vulnerability Assessment, Integrating projected climate impacts into data models, Developing a disaster preparedness plan, Hosting community conversations on projected climate impacts, Updating City’s Comprehensive Plan with climate priorities, Reviewing and updating Spokane Municipal Code for alignment, Adding Climate Action to the City's Comprehensive Plan, Developing a mitigation and adaptation matrix.",N/A,N/A
Erie,PA,2023,Resiliency Primary CAP,"Increase in the frequency and intensity of heat waves, Increase in frequency and severity of flooding, Increase in wind damage, Changing habitat suitability for species/diseases, Accessibility and mobility challenges for vulnerable populations",N/A,"Short-Term Direct County Executive Engagement, Law & Policy, Infrastructure, Law & Policy, Public Health, Resilience, Energy, Equity, Infrastructure, Equity, Landscapes & Ecosystems, Public Health, Resilience, Equity, Public Health, Resilience, Engagement, Waste & Resource Management, Food, Law & Policy, Waste & Resource Management","Support the development of climate-resilient housing, investigate creating neighborhood microgrids, re-treeing and creating green spaces in neighborhoods, work with local governments to ensure new housing protects residents from climate change threats, expand the Erie County Healthy Neighborhoods Program to include climate resilience aspects, create an education program for residents on extreme weather event preparedness, direct investment and new housing development to areas served by existing utility infrastructure, expand support for municipal comprehensive plan updates, work with local governments on smart growth planning and climate-mitigating grants, fund additional Erie County CDBG Smart Growth Projects, consider expanding the CDBG County Housing Rehab Program to include climate resiliency improvements, explore recreation of a Regional Planning Board, update the Erie-Niagara Framework for Regional Growth, advocate for creation of a resilient electric system, develop coordinated approaches to make coastal areas more resilient, strategies to reduce social vulnerability, regularly update and improve climate resilience planning."
Salt Lake City,UT,2017,MItigation Primary CAP,"Economy & Tourism, Forestry & Wildfire, Public Health, Transportation, Water and Weather-Related Disasters",N/A,"Energy benchmarking, efficiency investments, facility operator training, employee engagement, Net Zero Energy standards for buildings, renewable energy projects, Project Skyline energy efficiency targets, adoption of efficient energy codes, incentive programs with Rocky Mountain Power and Questar Gas, public transit expansion, active transportation promotion, electric vehicle adoption, reducing air travel emissions, local and sustainable food investments, reduction of food waste, diversified food production methods, Clear the Air Challenge, idle-free ordinance.","Interdepartmental coordination, enhanced preparedness, livability improvement, fleet vehicle emissions reduction, net zero construction, Project Skyline energy efficiency goals, sustainable food system development, reduction of energy waste, transition to renewable energy, collaboration with Western Adaptation Alliance."
Richmond,VA,2023,Equal Adapatation-Mitigation CAP,"Increasing temperatures, severe storms, poor air quality, extreme precipitation, flooding","Conduct assessment of invasive species, Create plan to control invasive species, Incentivize reduced water consumption, Use community input for neighborhood prioritization, Assess stormwater infrastructure, Acquire flood-prone land, Create conservation easements, Convert mown areas to meadows, Restrict riparian development, Implement Green Infrastructure Master Plan, Increase city capacity for flood resilience maintenance, Create incentives in zoning for green infrastructure, Create project management portal, Preserve wetlands, Develop cost of inaction study, Incentivize housing relocation in flood risk areas, Ensure air conditioning in public housing, Establish backup power systems, Review health care facilities for climate risk, Conduct tree canopy vulnerability assessment, Develop urban heat island reduction plan, Implement carbon sequestration, Promote net-zero energy design in new buildings, Require solar readiness measures, Establish energy management program, Develop urban forest master plan, Establish impervious surface requirements, Expand Adopt-a-Tree Program, Develop depaving program, Implement Mayor's Green Team recommendations, Leverage community ambassadors, Increase neighborhood character education, Create climate resilience knowledge program, Develop small business guide, Ensure climate project prioritization education, Develop communications guidelines, Advocate for low income tax assessments, Provide climate impact grant, Establish community engagement budget guidelines, Incentivize telework.","Minimize methane leakage, Develop criteria for carbon offsets, Convert buildings to clean energy by 2050, Require net zero energy for new municipal buildings, Establish a Local Energy Resource Center, Phase out fossil fuel dependence, Benchmark energy use and improve efficiency, Solar Energy Education & Outreach, Solar Installation Incentives and Access, Net-zero Energy Design.","Neighborhood Prioritization, Flood-Prone Land, Conservation Easements, Reduced Mowing, Riparian Development, Green Infrastructure Master Plan, Capacity and Resources, Zoning and Permitting, Project Management Portal, Wetlands Management, Municipal Resilient Infrastructure Assessment, Residential Energy Burden, Solar Energy Education & Outreach, Solar Installation Incentives and Access, Resilient Design Guidelines, Climate-Ready Affordable Housing, Climate Action and Resilience Information Navigator, Community Benefits Scorecard and Agreements, Community Partnerships Program, Climate-Ready Community Fund, Organizational Collaboration, Resilience Hubs, Urban & Community Agriculture, Climate Equity Index, Resilience Fairs, Health & Wellness, Cooling Centers, Emergency Housing, Residential Assistance, Emergency Preparedness, Disaster Response, Community Response Fund, Community Stakeholders, Urban Heat Island Reduction, Urban Forest and Green Space Planning, Land Management Practices, Climate Resilient Infrastructure, Business preparedness programs, Install microgrids at critical facilities, Modernize the grid, Develop distributed energy, renewables, energy storage."
Augusta,GA,2010,Green Plan,N/A,N/A,N/A,"Westobou Open Space Network, Landscaped roadways, Low Impact Development site design standards for stormwater management, Protect sensitive water courses, Create new open space amenities, Use Green Infrastructure in the development approval process, Re-create Gordon Highway, Windsor Spring, and Tobacco Road as scenic parkways."
Milwaukee,WI,2023,Equal Adaptation-Mitigation CAP,"temperature records, drought, wildfires, flooding, health risks","insulation, heat pump technology, nature-based solutions that absorb stormwater, increasing green space and trees, planting and removal of impermeable pavements, restore and protect marine habitats, Resilience Ambassadors, public communication and promotion about available programs and resources, ECO Neighborhoods Initiative, climate reporting dashboard, Our Future Milwaukee Coalition, campaigns to increase public education around vector-borne diseases","Green Jobs Accelerator, Healthy Home Energy Upgrades, New Net-Zero Energy Homes, Commercial Building Energy Benchmarking + Building Performance Standards, Electrify Transportation, Greening the Electric Grid, Waste Reduction & Sustainable Consumption","Green infrastructure to capture stormwater, Engage with Wisconsin Local Government Climate Coalition for best practices, Support Milwaukee Metropolitan Sewerage District Resilience Plan, Coordinate with local health departments on mosquito and tick disease education, Reduction of food insecurity through sustainable food practices, Resilience Ambassadors, Protect existing natural areas, Increase green space and trees, Expand Green and Healthy Schools Program, Remove excess asphalt to reduce urban heat islands, ECO Neighborhoods initiative, Milwaukee County Extreme Heat Task Force coordination, White or green roofs on City and County-owned buildings, Manage 500-year floodplain for new development, Implement Green Infrastructure Plan for stormwater."
Nashville,TN,2021,Mitigation Plan,"Extreme heat, natural disasters, sea level rise, species extinction, reduced economic growth.","Restore natural functions of the landscape, Increase green infrastructure, Use public land for climate resiliency, Conserve and sustainably manage lands, Strengthen tree codes and standards, Preserve and grow the tree canopy, Reconnect the city through park land creation.","Install on-site, behind-the-meter solar, set a community-wide goal of 100% carbon-free electricity by a specific date, encourage NES to offer retail net-metering, encourage NES to negotiate with TVA to increase renewables cap, work with NES to encourage large customers to install solar, encourage NES to fund large-scale solar array, streamline process for installing renewable electricity, provide fast-track permitting for solar projects, improve efficiency and electrify new and renovated buildings, require net zero new buildings by 2030, require fast-charge EV stations at gas stations by 2025, require parking to have EV charging, consider adopting performance-based code based on carbon target, establish green permitting program, establish benchmarking program, require mandatory benchmarking, establish performance targets, convert MNPS bus fleet to electric, improve TDM policies to manage congestion and emissions, update TDM mode-shift goals, incentivize carpooling, install air pollution monitors at schools, restore natural landscape functions, increase green infrastructure, strengthen tree codes and standards, demonstrate commitment to growing tree canopy, creatively use public land for climate resiliency, conserve and sustainably manage lands.","Increase green infrastructure on Metro projects to reduce runoff, Encourage Metro Council to amend the Landscape Ordinance to incentivize conversion of traditional turf to naturalized landscapes, Plant 500K trees to increase tree canopy, Update Metro's Urban Tree Canopy Assessment every five years, Establish a best-in-class Urban Forestry Division, Demonstrate Metro's commitment to preserving and growing the tree canopy, Metro, in partnership with the private sector, will incorporate interstate lid studies to increase open space, Incorporate green infrastructure to treat impervious surfaces, Evaluate capital projects for green infrastructure potential, Develop green infrastructure strategy to mitigate climate change impacts, Strengthen codes, standards and right-of-way treatment for trees, Create system for private developers to install and maintain street trees, Create system for labeling and marketing street trees, Establish a Tree Enhancement Program, Reduce Metro facilities' operational hours, Implement work-from-home policy during extreme temperatures, Encourage ""hoteling"" office space, Densify working space by reducing empty office areas, Require new Metro facilities to include solar or be solar-ready, Metro Nashville Public Schools partners with NGOs for tree-canopy targets."
Baltimore,MD,2019,Green Plan,"coastal storms, flooding, extreme heat, high winds, winter storms","Expand awareness of and funding models for energy efficiency and renewable energy, Speed the path to decarbonization through increased deployment of renewable energy and electric vehicles, Increase community awareness of natural hazards and climate change, Review regulatory codes and implement collaborative programs to protect vulnerable residents, Enhance City floodplain regulations and building codes, Update Capital Improvement Process, Streamline the permitting process for buildings designed to higher standards for flood, sea level rise, and/or wind hazards, Upgrade infrastructure to minimize threat to our most vulnerable communities, Develop plans and systems to increase community resilience, Develop a post-disaster plan, Apply an equity lens to all-hazards mitigation and climate adaptation planning, Finalize flood alert system upgrade, Continue to host workshops on “community preparedness”, Continue to support the growth of “community resiliency hubs”, Develop “community resiliency plans”, Increase the number of residents receiving community preparedness training","Increase the supply of clean, renewable electricity, Increase electric vehicle adoption, Adopt a goal for electric vehicle charging stations, Develop outreach campaigns focused on actions to reduce emissions, Commit to being a “Carbon Neutral City”, Reduce short-term pollutants, Enact and enforce strong anti-idling regulations for commercial cars, buses, and trucks, Encourage state-of-the-art pollution controls, Work with federal, state, and regional agencies to reduce toxic air emissions from transportation, Work with the Port of Baltimore, Implement an Indoor Air Quality management program for the school system, Increase inspections, enforcement, and hazard remediation in rental properties.","Continue to host workshops on “community preparedness”, Continue to support the growth of “community resiliency hubs”, Develop “community resiliency plans”, Increase the number of residents receiving community preparedness training, Enhance City floodplain regulations and building codes, Upgrade infrastructure to minimize threat to most vulnerable communities, Develop a post-disaster plan, Finalize flood alert system upgrade, Apply an equity lens to all-hazards mitigation and climate adaptation planning."
Nashville,TN,2024,Adaptation Plan,"Flooding, tornado, winter storm, thunderstorm, extreme temperatures",N/A,N/A,"Floodproofing Incentive Programs and Pollutant Controls, Increase Low-Impact Development, Prohibit or Remove Invasive Species, Improve Robustness and Redundancy of the Energy Grid, On-site or Distributed Energy Generation for Critical Facilities, Review and Update Building Codes, Zoning Criteria, and Design Standards, Review and Optimize Asset Management Programs, Develop Adaptation Plan for Critical Infrastructure and Services, Scale Up Complete Streets and Multimodal Transportation Initiatives, Require Low-Impact Development, Facility Energy Management Plans, Review and Improve Department Field Staff Safety Standards, Stormwater Basins and Water Plazas/Circles/Squares, Integrated Hazard Monitoring and Communication, Private Sector Outreach and Incentives to Build Resilience, Agricultural Outreach and Innovation, Build Redundancy through Alternative Supply and Transportation Options, Creative Financing, Strategic Reserves, Resource Hedging, and Contingency Planning, Climate-Focused Workforce Development Programs, Public Asset Mapping and Valuation, Educate and Empower, Improve Access to Necessities and Services, Increase Stability of the Residential Environment, Ensure Habitability of the Ambient Environment, Create Equitable Economic Opportunity, Protect and Prepare, Plan and Adapt, Asset Management and Optimization, Build Redundancy and Strengthen Defenses, Preserve and Expand Green and Wild Spaces, Support Nature's Inherent Attributes, Require, Encode, and Ingrain, Quantify, Measure and Track, Train and Instill a Culture of Readiness, Conduct climate-specific outreach and capacity building, Create affordability plans for utility services, Retrofit, weatherize, and green-cool buildings, Enhance development controls and protections in flood zones, Remedy climate injustice, Develop strategies for extreme temperature protection, Adaptation Planning for Critical Infrastructure and Services, Review and Optimize Asset Management Programs, Improve Robustness and Redundancy of critical services and facilities, Finance and require more green and less grey, Employ natural flood mitigation strategies, Optimize codes, zoning ordinances, and design standards, Map hazards and vulnerability for public information and internal decision-making, Conduct Resilience and Readiness Training Exercises and Drills, Enable community resiliency hubs, Make health care affordable and accessible, Optimize codes, zoning ordinances, and design standards, Expand greenery and deploy other strategies for heat control, Prevent green gentrification, Expand emergency shelters at the community level, Facility Energy Management Planning, Creative approaches to valuation of public assets, Identify and correct single points of failure, Empower the public to protect the environment, Incentivize and control upstream practices, Develop and embed standard operating procedures into planning processes, Department-level risk assessments and master planning, Improve Field Staff Safety Standards, Incentivize to innovate and build resilience, Improve safety, efficiency, and multimodality of public transportation, Identify safety issues before they occur, Scale up low-impact approaches for stormwater management, Create climate-focused workforce development programs, Contingency planning for financial resources and the supply chain, Incentivize the private sector, Control Invasive Species, Integrate Resilience criteria into Budgets, Grow urban gardens and reduce food waste, Address historic and current harms from traffic, Leveraging regional partnerships and assets, Adopt smarter procurement policies, Synthesizing policy."
Shreveport,LA,2013,Green Plan,"habitat loss, invasive plants, nonpoint source pollution, urban and suburban development, lack of maintenance of tree canopy",N/A,"Support a City and Parish greenhouse gas audit and local climate action plan, Support an energy-audit program for commercial and residential properties, Prepare a citywide energy and climate action plan, Join other cities in working toward sustainable energy policies, Implement the City Energy Efficiency and Conservation Strategy, Explore ways to increase energy efficiency in zoning and building codes, Expand home-weatherization programs, Provide public education on alternative and renewable energy adoption, Promote adaptive reuse and deconstruction of buildings, Continue to convert government vehicles to compressed natural gas, Improve energy efficiency of municipal buildings, Use LEED-style best practices for building retrofits and new buildings, Add hybrid electric cars to the fleet, Phase in compressed natural gas for bus transit fleet, Install intelligent traffic signalization system, Install pollution-control equipment on diesel fleets, Expand the tree canopy, Promote sustainable maintenance practices, Promote tree preservation and planting.","Support an Urban Forestry division, promote tree preservation and planting, prepare a tree canopy protection and restoration plan, develop a citywide energy and climate action plan, implement a greenhouse gas audit, promote adaptive reuse of existing buildings, deconstruct buildings slated for demolition, make a commitment to plant trees, amend land use regulations to facilitate park and greenway linkages, create a Unified Development Code for energy efficiency, enforce landscape standards, integrate natural stormwater-management, implement sustainable maintenance practices."
Gary,IN,2021,Mitigation Primary CAP,"Habitat fragmentation, stormwater management issues, urban heat islands, environmental contamination, invasive species.","Bioswale ditches, hybrid ditches, box tree filters, permeable pavement, rain gardens, green roofs, build stronger and higher flood walls, install rain barrels, model perforated pipe projects, implement the Gary Green Infrastructure Plan, conduct street-level tree canopy assessment, plant 1000 trees, replant trees along interstate (I-90), maintain existing middle aged to mature age trees, protect existing trees from damage, preserve plant species variety, manage stormwater at Indiana Dunes park, create climate refugia and landscape corridors, improve genetic diversity, reclaim vacant lots as parks, develop messaging systems for climate threats, expand green infrastructure projects, achieve water quality standards, upgrade water infrastructures, preserve floodplains and wetlands, preserve greenways and blueways.","Promote generation of renewable energy, adopt policies such as building codes to improve energy efficiency, incentivize action for reducing vehicular contribution to air pollution, utilize green infrastructure and waste management best practices to offset emissions, engage and educate building occupants, train the local workforce","Bioswale ditches, Box tree filters, Permeable pavement, Rain gardens, Green roofs, Build stronger and higher flood walls, Install rain barrels, Model perforated pipe projects, Implement the Gary Green Infrastructure Plan, Conduct a street-level tree canopy assessment, Plant 1000 trees, Replant trees recommended by Urban Forestry Management, Maintain existing mature trees, Protect existing trees during construction, Preserve plant species variety, Ensure warm-weather plants don’t crowd out northern forest plants, Improve stormwater management at Indiana Dunes park, Create climate refugia and landscape corridors, Improve plant and animal genetic diversity, Reclaim vacant lots as parks, Develop messaging systems for climate threats, Expand green infrastructure projects, Achieve water quality standards, Upgrade aging water infrastructures, Preserve floodplains and wetlands, Preserve regional greenways and blueways, Develop opportunities for eco-tourism, Prioritize cleanup and reuse of contaminated sites, Protect and conserve natural habitats, Adopt stronger building codes."
Norfolk,VA,2019,Equal Adaptation-Mitigation CAP,"chronic high-tide flooding, higher costs, lower property values, high temperatures, vector-borne disease",N/A,"Increase usage of renewable energy, increase building and operation energy efficiency, reduce energy consumption, increase energy efficiency in transportation, use clean energy in transportation, reduce vehicle reliance, reduce, reuse, recycle consumption and waste, create and promote a sustainable food system, environmental education and engagement, PACE funding for renewable energy, solar survey and installation, reusable bags and single-use plastics regulation, encourage sustainable business practices, alternative commute incentives, expand no-idling policy, increase residential solar deployment, energy performance benchmarking for businesses, central energy plant expansion, energy performance analysis of municipal buildings, outdoor LED lighting replacement, net property tax limitations for energy projects, support city-financed projects meeting energy efficiency standards, resilience quotient updates, promote workforce development for green jobs, K-12 sustainability curriculum.","risk reduction, stormwater management, energy resilience, energy conservation, use of alternative energy, renewable energy systems, geothermal heating and cooling systems, energy efficient budget, planting vegetation to shade and cool buildings, electric vehicle charging stations, mixing of uses in commercial corridors, pedestrian-friendly communities, building retrofits, solar and wind power, review and update Resilience Quotient, energy efficient and resilient best practices, net zero energy consumption, Resilience Strategy, Complete Streets policy, City Appliances Policy, energy efficiency capital projects, outdoor LED lights, turning off equipment and appliances, Sustainable Business Coalition, energy performance tracking, energy performance analysis, centralized plant control, solar emergency shelters"
Cambridge,MA,1999,Mitigation Primary CAP,"Extreme weather events, Summer temperature increase, Smog levels increase, Disease-carrying organisms, Droughts affecting water supplies.",N/A,"Lobby for low-emissions buses, Encourage state and federal officials to shift funds from highways to transit, Encourage federal and state officials to plan a truck-free interstate system, Design durable buildings with LEED principles, Reuse materials during renovation projects, Maximize tree canopy cover, Incorporate LEED standards for reflectance and shading, Waste prevention measures, Commercial food waste collection, Expand electronics recycling, Increase energy efficiency in municipal buildings, Install renewable energy systems, Purchase green power, Increase fuel economy of the city vehicle fleet, Switch to alternative fuels and minimum-sized vehicles, Develop a system to link insurance costs to vehicle miles, Establish car-free celebrations, Promotional and educational campaigns, Involve all stakeholders in climate efforts, Build on existing sustainability programs, Monitor energy use, transportation, and waste, Establish a coordinating committee, Encourage taxis to switch to CNG, Link parking sticker fees to engine size, Establish residential parking maximums, Neighborhood-zoned parking, Encourage mixed-use development, Increase public education on stormwater management, Develop green standards for City-owned properties renovation, Real-time GIS and computer imaging for canopy planning, Strengthen zoning incentives for LEED in project reviews, Provide incentives for planting trees, Provide information about green and high reflectance roofs, Implement waste prevention programs for the City, Increase recycling participation using social marketing, Facilitate construction and demolition waste recycling.",N/A
Pembroke Pines,FL,2014,Green Plan,"Carbon emissions, increased temperatures, ocean acidity, extreme weather, sea level rise.","Enhance protections for the Eagle Sanctuary, review the City’s Wetland Management Plan, incorporate Green Infrastructure to reduce storm water runoff, use reclaimed water for irrigation, encourage water reuse techniques, address water supply risk in long range planning, install green corridors, complete streets principles, support transit-oriented development, provide canopy along sidewalks, identify bike paths and safe cyclist paths, provide shelter and shade at bus stops, monitor and assess bus network, encourage pedestrian access from shopping centers, encourage interconnections between developments, facilitate community and waterway cleanup programs.","Promote the use of alternative transportation to reduce carbon emissions, Continue diversification of energy portfolio by giving preference to vendors who highlight the use of energy efficiency and renewable energy, Promote the use of Broward County’s Property-Assessed Clean Energy (PACE) program for energy efficiency retrofits, Phase in LED lighting throughout the City, Encourage new development to use and install renewable energy, Encourage purchase or installation of renewable energy, Explore purchasing renewable energy credits and/or systems, Encourage new development to follow principles for passive solar design, Explore and identify funding sources for installation of solar panels on public buildings, Encourage Green Roofs and Living Walls, Decrease heat island effect by encouraging solar reflective coatings, Encourage use of low volatile organic compounds (VOCs).","Reducing reliance on carbon-intensive energy sources, protecting natural environment and resources, building resiliently, educating the public, implementing policies and procedures for resilience in the built environment, creating a ""green team"" for coordination, integrating resilience into strategic planning and future decision making, adhering to the triple bottom line principles, adopting policies that encourage and promote green development and resiliency, incorporating climate change into long range planning, strategic intergovernmental coordination."
Atlanta,GA,2018,Mitigation Plan,N/A,N/A,"Energy efficiency upgrades to municipal buildings, Alternative fuel vehicles and infrastructure, Rooftop solar panels installation, Commercial Buildings Energy & Water Efficiency Ordinance, Sustainable Building Ordinance, Property Assessed Clean Energy Financing program, Energy savings performance contract, Net Zero Energy Code, Clean Energy Local Products, Pay-As-You-Save program, Retail Net Metering, Green Tariff, Renewable Energy Credit Procurement, Efficient Equipment Procurement Policy, Building Energy Stretch Code, Small & Medium Building Retrofit Policy, Energy Storage initiatives, Water Efficiency Program, Round-It-Up Energy Efficiency Program, Equitable Community Solar Program.","Energy efficiency upgrades to municipal building stock, adoption of alternative fuel vehicles and infrastructure, solar energy procurement agreement, deep energy retrofits effort, energy transparency and audit efforts, benchmarking and education efforts with city staff, energy code requiring new buildings to be more efficient, building energy tune-ups, equitable community solar program, combined heat and power at wastewater treatment plants, energy storage, education on storage opportunities, public outreach and communication efforts, clean energy workforce training."
Albany,CA,2019,Equal Adaptation-Mitigation CAP,"Flooding, Sea level rise, Wildfires, Vector-borne diseases, Food insecurity","Sea Level Rise Protection, Restoration of Natural Areas, Equip Communities for Extreme Weather, Disaster Preparedness, Smart Growth, Green Infrastructure, Water and Energy Conservation, Building Weatherization, Increase resilience of built systems and infrastructure, Increase resilience of private buildings, Address issues with the electric grid, Expand green infrastructure improvements, Promote climate adaptive landscaping, Support climate resilience and green infrastructure modifications to private property, Update flood zone maps, Restore and maintain creeks to accommodate increased rain events, Manage, restore, and partner to foster resilient natural landscapes, Climate-adaptive landscape management, Compost, Mulching, Vegetation and fuel management in wildfire-prone areas, Increase the capacity of community cooling centers, Strengthen emergency management capabilities.","Sustainable Transportation, Building Electrification, Clean Energy, Waste Reduction, Sea Level Rise Protection, Smart Growth, Water and Energy Conservation, Building Weatherization, Advance active, shared, and electric transportation, Electrify new and existing buildings, Facilitate a carbon-free economy, Update and implement Sustainable Procurement Policy, Mandate and encourage waste reduction, Reduce emissions embodied in goods and materials, Encourage active transportation through infrastructure and parking management, Encourage shared mobility programs.","increase urban tree canopy cover, maximize installations of green infrastructure, install needed coastal flooding improvements, address climate-related health risks, address time-of-use issues by increasing storage capacity and energy efficiency, advocate for grid 2.0 initiatives, promote climate-adaptive landscaping, support climate resilience and green infrastructure modifications to private property, update flood zone maps, restore and maintain creeks to accommodate increased rain events, manage wildfire risk by implementing vegetation management and fuel reduction programs, partner regionally to address coastal flooding impacts, partner regionally to promote water conservation, inventory and maintain adequate cooling centers for extreme heat, promote regional services during extreme weather events, strengthen emergency management capacity"
Atlanta,GA,2015,Mitigation Only CAP,N/A,"Maintain and Increase park land and accessibility, Maintain/Increase Urban Canopy Tree Protection Ordinance, Increase Urban Agriculture/Vertical Farming practices, Reduce Food Deserts, Trees Carbon Sequestration Quantification","Replace City Hall outdoor lighting with LEDs, Right-sized vehicle fleet, Increase energy efficiency, More transit options, Transit-oriented development practices","Maintain and increase park land, increase accessibility to parks, maintain/increase urban canopy, increase urban agriculture/vertical farming practices, reduce food deserts, trees carbon sequestration quantification."
Dallas,TX,2020,Mitigation Primary CAP,"Extreme heat, droughts, heatwaves, more frequent floods, increased wildfire risk.","Disaster Management, Flood Protection, Infrastructure Upgrades, Urban Forest Management, Water Conservation, Local Food Production, Water Quality, Weather Vulnerability and Risk Assessment for Transportation Infrastructure, Green Infrastructure Programs, Drought Contingency Plan.","Renewable Energy: Increase Use, Recycling: Paper Diversion, Electric Vehicles: Transit, Energy Efficiency: New Construction, Energy Generation: Organics, Electric Vehicles: Passenger, Land Use: Transit Oriented Development, Travel Mode Shift: SOV Trip Reduction, Vehicle Fuel Efficiency, Energy Efficiency: Existing City Buildings, Energy Efficiency: Existing Residential Buildings, Energy Efficiency: Existing Commercial Buildings","Develop resilience hubs, Protect and maintain water infrastructure from extreme weather events, Implement drainage infrastructure projects, Educate and protect communities from flooding, Monitor and protect water quality, Conduct risk and resilience assessment of DWU water system, Evaluate city-owned properties for resilience hubs creation, Establish urban greening factor requirements, Increase climate resilience for new and existing buildings through structural and operational improvements"
Manhattan Beach,CA,2010,Mitigation Only CAP,N/A,N/A,"Energy Efficient Buildings, Renewable Energy Sources, Improved Transportation Options, Tree Planting and Urban Forestry, Storing and Offsetting Carbon Emissions, Purchasing Energy Star equipment and appliances, Sustainable Building practices, Increased fuel efficiency of municipal fleet vehicles, Increase recycling rates, Green Purchasing, Energy Efficiency measures through building code improvements, Retrofitting city facilities with energy efficient lighting, Educational programs on reducing global warming pollution, Replacing existing traffic signals with LED lighting.",N/A
Glendale,CA,2011,Green Plan,"Air quality, fires, floods, energy supply, water supply","Develop a Climate Adaptation Plan, Monitor progress and revise Greener Glendale Plan as needed, Protect water quality by implementing stormwater management best practices","Increased Renewable Energy Portfolio by 2035, Energy management system for water transport facilities, Develop two local water wells, HVAC upgrades on 23 buildings, Retire underused/older vehicles, Efficiency tests/upgrades for water transport facilities, Improve water pumping efficiency, Downsizing vehicles, Vending misers, Brand Library remodel, Energy efficient computers, Idle control policy, Central Library - Energy Star computers, Utilize existing exterior LED lights, Install LED exit signs, LED street lights, Switch diesel to B10 biodiesel, Facility natural gas energy audit and upgrades, Implement Zero Waste Plan, Hybrid vehicles, Rideshare increased incentives/outreach, Solar panels on 8 buildings, Reflective roofing, Electric vehicles, Energy upgrades on 8 buildings, Switch B10 biodiesel to B20 biodiesel, Additional facility energy efficiency upgrades, Smart Meter technology, Additional sustainability outreach.",N/A
Boston,MA,2019,Mitigation Only CAP,"sea level rise, extreme heat, extreme precipitation, stormwater flooding, tidal flooding",N/A,"Construct new municipal buildings to a zero net carbon standard, Adopt a zero net carbon standard for City-funded affordable housing in Boston, Strengthen green building zoning requirements to a zero net carbon standard, Invest in energy efficiency and renewable energy generation in municipal buildings, Develop a carbon emissions performance standard to decarbonize existing large buildings, Expand workforce development programs for building decarbonization, Advocate for state building policies that align with carbon neutrality by 2050, Improve and expand active transportation infrastructure, Encourage mode shift through transportation demand management and sustainable parking policies, Support citywide zero-emission vehicle deployment, Accelerate municipal fleet transition to zero- and low-emission vehicles, Implement and expand Community Choice Energy, Plan for the deployment of carbon-neutral district energy microgrid systems, Support state policies and programs that further decarbonize the region's and Boston’s energy supply, Decarbonize the consumption of Boston residents and businesses, Green municipal investments, Develop a values-based framework for carbon offsets.","develop a redundant and reliable public transportation network, prepare for the impacts of climate change, improve the collaboration of partners working in Boston communities, plan for the deployment of carbon-neutral district energy microgrid systems, enhance Boston’s waterfront through Resilient Boston Harbor, improve city’s ability to address major flooding events, increase resilience to flooding events, increase access and open space area, develop coastal flood resilience design guidelines, enact the Smart Utilities Policy, launch Climate Ready Boston program, update local climate projections, conduct vulnerability analysis, develop coastal resilience solutions for neighborhoods."
